minuto,numero,jugador,equipo,evento,match_id,id_equipo
09'10,31,Matías Pérez,Gimnasia La Plata,Tiro de esquina,2173070,1392
09'11,8,Gabriel Compagnucci,Patronato,Despeje,2173070,8628
09'13,32,Matías Melluso,Gimnasia La Plata,Fuera,2173070,1392
11'00,5,Harrinson Mancilla,Gimnasia La Plata,Pase,2173070,1392
11'01,9,Leandro Contín,Gimnasia La Plata,Tiro atajado,2173070,1392
11'01,31,Daniel Sappa,Patronato,Parada,2173070,8628
16'15,16,Víctor Ayala,Gimnasia La Plata,Tiro de esquina,2173070,1392
16'16,24,Damián Lemos,Patronato,Duelo aéreo perdido,2173070,8628
16'16,9,Leandro Contín,Gimnasia La Plata,Duelo aéreo,2173070,1392
16'17,9,Leandro Contín,Gimnasia La Plata,Fuera,2173070,1392
20'50,16,Víctor Ayala,Gimnasia La Plata,Tiro de esquina,2173070,1392
20'56,31,Matías Pérez,Gimnasia La Plata,Pase,2173070,1392
20'58,32,Matías Melluso,Gimnasia La Plata,Pase malo,2173070,1392
21'00,5,Leandro Marín,Patronato,Despeje,2173070,8628
21'04,7,Johan Carbonero,Gimnasia La Plata,Pase malo,2173070,1392
21'04,3,Oliver Benítez,Patronato,Toque de balón,2173070,8628
21'05,24,Damián Lemos,Patronato,Despeje,2173070,8628
21'07,57,Marcelo Weigandt,Gimnasia La Plata,Tiro atajado,2173070,1392
21'07,31,Daniel Sappa,Patronato,Parada,2173070,8628
31'11,19,Jorge Broun,Gimnasia La Plata,Pase,2173070,1392
31'12,23,Maximiliano Coronel,Gimnasia La Plata,Pase,2173070,1392
31'15,19,Jorge Broun,Gimnasia La Plata,Pase,2173070,1392
31'18,57,Marcelo Weigandt,Gimnasia La Plata,Pase malo,2173070,1392
31'21,32,Dardo Miloc,Patronato,Pase malo,2173070,8628
31'24,32,Matías Melluso,Gimnasia La Plata,Pase,2173070,1392
31'26,31,Matías Pérez,Gimnasia La Plata,Pase,2173070,1392
31'32,10,Matías García,Gimnasia La Plata,Pase malo,2173070,1392
31'34,31,Daniel Sappa,Patronato,Despeje,2173070,8628
31'35,16,Víctor Ayala,Gimnasia La Plata,Poste,2173070,1392
31'36,24,Damián Lemos,Patronato,Duelo aéreo perdido,2173070,8628
31'36,9,Leandro Contín,Gimnasia La Plata,Duelo aéreo,2173070,1392
31'37,9,Leandro Contín,Gimnasia La Plata,Fuera,2173070,1392
40'29,16,Víctor Ayala,Gimnasia La Plata,Pase,2173070,1392
40'32,4,Christian Chimino,Patronato,Pase malo,2173070,8628
40'32,10,Matías García,Gimnasia La Plata,Toque de balón,2173070,1392
40'34,32,Matías Melluso,Gimnasia La Plata,Pase,2173070,1392
40'37,10,Matías García,Gimnasia La Plata,Pase,2173070,1392
40'39,9,Leandro Contín,Gimnasia La Plata,Pase,2173070,1392
40'40,16,Víctor Ayala,Gimnasia La Plata,Tiro atajado,2173070,1392
40'40,31,Daniel Sappa,Patronato,Parada,2173070,8628
40'45,7,Johan Carbonero,Gimnasia La Plata,Gol,2173070,1392
55'10,5,Leandro Marín,Patronato,Intercepción,2173070,8628
55'14,7,Johan Carbonero,Gimnasia La Plata,Pase,2173070,1392
55'16,9,Leandro Contín,Gimnasia La Plata,Pase,2173070,1392
55'17,57,Marcelo Weigandt,Gimnasia La Plata,Regate,2173070,1392
55'17,39,Mauro González,Patronato,Tackle,2173070,8628
55'20,57,Marcelo Weigandt,Gimnasia La Plata,Pase malo,2173070,1392
55'21,24,Damián Lemos,Patronato,Despeje,2173070,8628
55'26,7,Johan Carbonero,Gimnasia La Plata,Pase,2173070,1392
55'28,16,Víctor Ayala,Gimnasia La Plata,Remate bloquedao,2173070,1392
55'28,2,Dylan Gissi,Patronato,Bloqueo,2173070,8628
56'12,16,Víctor Ayala,Gimnasia La Plata,Tiro de esquina,2173070,1392
56'15,23,Maximiliano Coronel,Gimnasia La Plata,Gol,2173070,1392
64'26,15,Brahian Alemán,Gimnasia La Plata,Pase,2173070,1392
64'32,10,Matías García,Gimnasia La Plata,Pase,2173070,1392
64'35,16,Víctor Ayala,Gimnasia La Plata,Fuera,2173070,1392
74'10,16,Víctor Ayala,Gimnasia La Plata,Remate de falta fuera,2173070,1392
83'23,16,Víctor Ayala,Gimnasia La Plata,Pase,2173070,1392
83'28,7,Johan Carbonero,Gimnasia La Plata,Pase,2173070,1392
83'29,37,Sebastián Cocimano,Gimnasia La Plata,Pase malo,2173070,1392
83'30,24,Damián Lemos,Patronato,Pase malo,2173070,8628
83'30,7,Johan Carbonero,Gimnasia La Plata,Blocked pass,2173070,1392
83'32,37,Sebastián Cocimano,Gimnasia La Plata,Pase,2173070,1392
83'35,15,Brahian Alemán,Gimnasia La Plata,Remate bloquedao,2173070,1392
83'35,5,Leandro Marín,Patronato,Bloqueo,2173070,8628
91'43,15,Brahian Alemán,Gimnasia La Plata,Tiro de esquina,2173070,1392
91'46,25,Lucas Licht,Gimnasia La Plata,Pase,2173070,1392
91'49,32,Matías Melluso,Gimnasia La Plata,Pase,2173070,1392
91'52,43,Eric Ramírez,Gimnasia La Plata,Gol,2173070,1392
28'26,10,Lautaro Comas,Patronato,Falta Recibida,2173070,8628
29'16,8,Gabriel Compagnucci,Patronato,Pase,2173070,8628
29'19,32,Matías Melluso,Gimnasia La Plata,Duelo aéreo perdido,2173070,1392
29'19,24,Damián Lemos,Patronato,Duelo aéreo,2173070,8628
29'20,24,Damián Lemos,Patronato,Fuera,2173070,8628
29'21,19,Jorge Broun,Gimnasia La Plata,Centro atrapado por el arquero,2173070,1392
44'05,8,Gabriel Compagnucci,Patronato,Saque de banda,2173070,8628
44'08,4,Christian Chimino,Patronato,Pase,2173070,8628
44'10,5,Leandro Marín,Patronato,Pase,2173070,8628
44'13,32,Dardo Miloc,Patronato,Pase,2173070,8628
44'20,31,Matías Pérez,Gimnasia La Plata,Tackle,2173070,1392
44'20,10,Lautaro Comas,Patronato,Pérdida de balón,2173070,8628
44'24,10,Lautaro Comas,Patronato,Pase malo,2173070,8628
44'24,2,Paolo Goltz,Gimnasia La Plata,Blocked pass,2173070,1392
44'27,32,Dardo Miloc,Patronato,Pase,2173070,8628
44'28,24,Damián Lemos,Patronato,Pase,2173070,8628
44'31,8,Gabriel Compagnucci,Patronato,Pase,2173070,8628
44'32,9,Germán Rivero,Patronato,Tiro atajado,2173070,8628
44'33,19,Jorge Broun,Gimnasia La Plata,Parada,2173070,1392
46'10,24,Damián Lemos,Patronato,Pase,2173070,8628
46'13,8,Gabriel Compagnucci,Patronato,Pase,2173070,8628
46'14,9,Germán Rivero,Patronato,Tiro atajado,2173070,8628
46'14,19,Jorge Broun,Gimnasia La Plata,Parada,2173070,1392
46'50,8,Gabriel Compagnucci,Patronato,Tiro de esquina,2173070,8628
46'52,9,Leandro Contín,Gimnasia La Plata,Despeje,2173070,1392
46'54,24,Damián Lemos,Patronato,Fuera,2173070,8628
61'27,3,Oliver Benítez,Patronato,Saque de banda,2173070,8628
61'29,10,Lautaro Comas,Patronato,Pase,2173070,8628
61'32,9,Germán Rivero,Patronato,Pase,2173070,8628
61'37,4,Christian Chimino,Patronato,Pase,2173070,8628
61'42,29,Nicolás Delgadillo,Patronato,Pase,2173070,8628
61'45,24,Damián Lemos,Patronato,Pase,2173070,8628
61'47,2,Dylan Gissi,Patronato,Pase,2173070,8628
61'49,10,Lautaro Comas,Patronato,Pase malo,2173070,8628
61'50,16,Víctor Ayala,Gimnasia La Plata,Toque de balón,2173070,1392
61'52,10,Lautaro Comas,Patronato,Fuera,2173070,8628
61'53,19,Jorge Broun,Gimnasia La Plata,Pelota atrapada por el arquero,2173070,1392
80'29,57,Marcelo Weigandt,Gimnasia La Plata,Intercepción,2173070,1392
80'32,10,Lautaro Comas,Patronato,Remate bloquedao,2173070,8628
80'32,2,Paolo Goltz,Gimnasia La Plata,Bloqueo,2173070,1392
94'10,29,Nicolás Delgadillo,Patronato,Tiro de esquina,2173070,8628
94'11,10,Lautaro Comas,Patronato,Tiro atajado,2173070,8628
94'11,19,Jorge Broun,Gimnasia La Plata,Parada,2173070,1392
07'45,?,Unknown Player,Talleres de Córdoba,Falta Recibida,2173045,1071
08'25,32,Tomás Pochettino,Talleres de Córdoba,Pase malo,2173045,1071
08'27,32,Ignacio Scocco,Newell's Old Boys,Despeje,2173045,1095
08'32,7,Diego Valoyes,Talleres de Córdoba,Remate bloquedao,2173045,1071
08'32,4,Angelo Gabrielli,Newell's Old Boys,Bloqueo,2173045,1095
18'45,8,Juan Méndez,Talleres de Córdoba,Pase,2173045,1071
18'49,11,Lautaro Guzmán,Talleres de Córdoba,Pase,2173045,1071
18'52,32,Tomás Pochettino,Talleres de Córdoba,Fuera,2173045,1071
18'53,9,Favio Cabral,Talleres de Córdoba,Remate bloquedao,2173045,1071
18'53,6,Santiago Gentiletti,Newell's Old Boys,Bloqueo,2173045,1095
18'55,32,Tomás Pochettino,Talleres de Córdoba,Remate bloquedao,2173045,1071
18'55,8,Pablo Pérez,Newell's Old Boys,Bloqueo,2173045,1095
29'41,43,Aníbal Moreno,Newell's Old Boys,Tarjeta,2173045,1095
30'25,32,Tomás Pochettino,Talleres de Córdoba,Pase malo,2173045,1071
30'27,28,Mariano Bittolo,Newell's Old Boys,Despeje,2173045,1095
30'30,8,Juan Méndez,Talleres de Córdoba,Remate bloquedao,2173045,1071
30'30,8,Pablo Pérez,Newell's Old Boys,Bloqueo,2173045,1095
31'52,?,Unknown Player,Talleres de Córdoba,Falta Recibida,2173045,1071
32'19,32,Tomás Pochettino,Talleres de Córdoba,Pase,2173045,1071
32'21,8,Juan Méndez,Talleres de Córdoba,Pase,2173045,1071
32'24,6,Juan Cruz Komar,Talleres de Córdoba,Pase,2173045,1071
32'28,15,Enzo Díaz,Talleres de Córdoba,Pase,2173045,1071
32'32,32,Tomás Pochettino,Talleres de Córdoba,Pase,2173045,1071
32'35,8,Juan Méndez,Talleres de Córdoba,Pase,2173045,1071
32'38,9,Favio Cabral,Talleres de Córdoba,Pase,2173045,1071
32'43,14,Nahuel Tenaglia,Talleres de Córdoba,Tiro atajado,2173045,1071
32'43,1,Alan Aguerre,Newell's Old Boys,Parada,2173045,1095
51'02,32,Tomás Pochettino,Talleres de Córdoba,Pase,2173045,1071
51'05,11,Lautaro Guzmán,Talleres de Córdoba,Pase,2173045,1071
51'06,32,Tomás Pochettino,Talleres de Córdoba,Pase,2173045,1071
51'09,11,Lautaro Guzmán,Talleres de Córdoba,Pase,2173045,1071
51'13,15,Enzo Díaz,Talleres de Córdoba,Pase,2173045,1071
51'16,2,Rafael Pérez,Talleres de Córdoba,Pase,2173045,1071
51'20,8,Juan Méndez,Talleres de Córdoba,Pase,2173045,1071
51'22,1,Mauricio Caranta,Talleres de Córdoba,Pase,2173045,1071
51'25,6,Juan Cruz Komar,Talleres de Córdoba,Pase,2173045,1071
51'28,1,Mauricio Caranta,Talleres de Córdoba,Pase,2173045,1071
51'33,15,Enzo Díaz,Talleres de Córdoba,Pase,2173045,1071
51'40,7,Diego Valoyes,Talleres de Córdoba,Regate,2173045,1071
51'40,43,Aníbal Moreno,Newell's Old Boys,Ocasión perdida,2173045,1095
51'41,7,Diego Valoyes,Talleres de Córdoba,Pase,2173045,1071
51'43,8,Juan Méndez,Talleres de Córdoba,Pase,2173045,1071
51'47,11,Lautaro Guzmán,Talleres de Córdoba,Pase malo,2173045,1071
51'50,20,Julián Fernández,Newell's Old Boys,Despeje,2173045,1095
51'53,32,Tomás Pochettino,Talleres de Córdoba,Pase,2173045,1071
